experience_years,skill_match_count,skill_match_ratio,current_assignments,risk_level_encoded,exp_meets_risk,total_skills,condition_count,good_match
14,1,0.5,3,1,1,3,2,1
10,0,0.0,6,2,1,3,4,0
4,3,0.75,2,1,1,5,4,1
7,0,0.0,4,2,1,4,3,0
7,1,0.25,0,0,1,4,4,1
14,1,1.0,5,1,1,3,1,0
0,3,1.0,0,1,0,6,3,0
14,1,1.0,5,2,1,5,1,0
11,0,0.0,3,2,1,6,1,0
4,1,0.3333,2,2,1,6,3,1
2,1,0.5,4,2,0,6,2,0
9,1,0.25,1,1,1,5,4,1
4,0,0.0,6,1,1,4,1,0
13,0,0.0,3,2,1,5,2,0
0,1,0.3333,7,2,0,7,3,0
12,2,0.5,6,1,1,5,4,0
9,1,0.3333,6,1,1,2,3,0
8,1,0.25,2,2,1,6,4,1
3,0,0.0,5,0,1,2,4,1
11,3,0.75,5,1,1,7,4,1
4,0,0.0,0,1,1,4,2,0
13,3,0.75,3,0,1,5,4,1
13,1,1.0,0,2,1,7,1,1
2,1,0.25,5,0,1,7,4,0
1,0,0.0,2,0,1,6,2,0
0,1,0.25,6,1,0,2,4,0
5,2,0.5,6,1,1,5,4,0
14,0,0.0,4,1,1,4,4,0
8,1,0.25,3,1,1,7,4,1
12,0,0.0,7,2,1,4,1,0
14,2,1.0,5,2,1,7,2,1
3,0,0.0,7,1,1,5,3,0
15,2,0.6667,1,2,1,6,3,1
5,1,0.3333,2,2,1,3,3,1
4,1,1.0,0,0,1,6,1,1
14,3,0.75,5,1,1,5,4,1
8,2,0.5,3,1,1,6,4,1
5,1,0.3333,6,0,1,3,3,0
6,0,0.0,7,2,1,2,2,1
10,0,0.0,6,1,1,2,1,0
2,3,0.75,3,1,1,2,4,1
11,1,0.25,2,1,1,2,4,1
8,1,0.3333,2,1,1,4,3,1
3,0,0.0,5,2,0,3,1,0
14,1,0.25,3,0,1,2,4,1
1,0,0.0,1,0,1,2,1,0
7,2,0.6667,6,0,1,4,3,0
11,1,0.3333,2,1,1,2,3,1
3,1,0.3333,2,1,1,7,3,1
12,1,1.0,6,2,1,6,1,0
3,2,0.5,7,1,1,4,4,0
9,1,0.3333,6,1,1,7,3,1
13,0,0.0,7,1,1,7,4,0
7,0,0.0,5,1,1,2,2,0
6,2,0.6667,5,1,1,7,3,1
5,1,0.3333,4,0,1,6,3,1
9,1,0.5,0,2,1,5,2,1
11,1,0.5,4,1,1,6,2,1
6,0,0.0,7,2,1,2,1,0
7,2,0.6667,4,0,1,6,3,1
10,2,0.5,4,1,1,6,4,1
10,2,0.5,7,2,1,4,4,1
2,0,0.0,6,0,1,7,1,1
9,2,1.0,2,0,1,6,2,1
9,0,0.0,3,0,1,2,2,0
11,0,0.0,3,0,1,3,3,0
6,0,0.0,6,1,1,2,2,0
0,1,0.25,2,1,0,7,4,1
7,0,0.0,3,2,1,4,3,0
2,2,1.0,1,0,1,7,2,1
12,1,0.3333,6,2,1,3,3,0
10,0,0.0,0,0,1,2,4,0
3,0,0.0,5,2,0,4,3,0
11,1,0.25,5,0,1,7,4,0
2,1,1.0,4,0,1,6,1,1
10,1,0.5,4,0,1,7,2,1
2,1,1.0,4,0,1,3,1,1
8,0,0.0,5,0,1,6,4,0
12,1,1.0,7,2,1,5,1,0
4,1,0.3333,1,2,1,6,3,1
12,2,0.5,0,0,1,3,4,0
3,0,0.0,0,0,1,7,1,0
11,1,0.25,3,0,1,7,4,1
9,1,0.25,5,2,1,2,4,0
6,1,1.0,0,0,1,5,1,1
13,0,0.0,2,1,1,5,3,1
0,1,0.3333,7,2,0,4,3,0
12,0,0.0,4,1,1,2,2,0
10,1,1.0,3,0,1,5,1,1
12,1,0.3333,1,0,1,3,3,1
14,2,0.6667,1,0,1,4,3,1
3,0,0.0,0,0,1,7,3,0
10,1,0.25,6,1,1,3,4,0
0,1,0.25,1,1,0,5,4,0
2,2,1.0,6,1,1,7,2,0
3,1,0.25,0,1,1,7,4,1
11,2,0.5,5,2,1,6,4,1
1,0,0.0,3,0,1,2,4,1
1,2,0.6667,4,2,0,4,3,0
5,1,0.5,6,1,1,3,2,1
8,0,0.0,2,0,1,3,1,0
10,1,0.5,1,1,1,6,2,1
14,1,0.5,3,0,1,3,2,1
9,1,0.5,0,2,1,7,2,1
9,1,0.5,7,2,1,5,2,0
14,1,1.0,0,1,1,7,1,1
14,1,0.25,4,2,1,3,4,1
15,0,0.0,4,2,1,4,1,1
0,2,1.0,2,0,1,6,2,0
5,0,0.0,4,2,1,7,1,0
7,0,0.0,2,1,1,3,1,0
15,0,0.0,3,0,1,4,4,0
0,1,1.0,3,2,0,3,1,0
5,1,0.5,1,1,1,4,2,1
14,1,0.25,7,2,1,7,4,0
1,0,0.0,3,0,1,3,3,0
7,0,0.0,4,1,1,7,1,0
6,1,1.0,1,0,1,5,1,1
12,1,1.0,6,1,1,2,1,0
2,0,0.0,5,2,0,7,2,0
0,0,0.0,3,2,0,4,4,0
6,2,0.5,7,1,1,7,4,0
13,2,0.6667,6,1,1,3,3,0
9,4,1.0,0,2,1,6,4,1
12,0,0.0,3,0,1,7,2,0
5,1,0.25,3,0,1,7,4,0
3,0,0.0,6,1,1,3,2,0
4,1,0.25,4,0,1,4,4,1
3,2,0.5,4,1,1,5,4,1
5,1,0.25,3,0,1,3,4,1
10,1,0.3333,6,0,1,6,3,0
15,2,0.5,1,0,1,5,4,1
2,1,0.5,0,1,1,7,2,1
5,1,0.5,2,2,1,4,2,1
8,1,0.25,1,2,1,3,4,1
1,3,0.75,1,1,0,5,4,0
6,0,0.0,1,0,1,7,2,1
8,1,1.0,7,1,1,4,1,0
5,2,1.0,4,0,1,7,2,1
0,1,0.5,6,0,1,6,2,0
11,1,1.0,4,2,1,5,1,1
0,2,0.5,3,2,0,5,4,0
13,1,0.25,3,2,1,3,4,1
0,2,0.5,5,1,0,4,4,0
14,1,0.5,2,1,1,6,2,1
4,1,0.5,6,2,1,3,2,1
11,1,0.5,4,0,1,5,2,1
3,1,0.3333,4,2,0,7,3,0
6,2,0.5,5,1,1,6,4,1
4,1,0.5,4,2,1,4,2,1
2,0,0.0,0,1,1,7,1,0
1,1,0.25,4,0,1,4,4,1
11,0,0.0,5,0,1,5,1,0
4,1,0.25,0,0,1,2,4,1
5,0,0.0,5,0,1,3,1,0
15,0,0.0,0,1,1,2,4,1
3,1,0.5,2,1,1,4,2,1
6,3,0.75,5,2,1,7,4,1
4,0,0.0,7,0,1,7,4,0
12,1,0.5,1,2,1,4,2,1
